PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TEAM_ID,TEAM_NAME,HEIGHT,WEIGHT
1630208,Nick Richards,2020,1610612766,Hornets,7-0,245
1629643,Chuma Okeke,2020,1610612753,Magic,6-6,229
1629671,Miye Oni,2019,0,,6-5,206
1629605,Tacko Fall,2019,0,,7-6,311
1630253,Sean McDermott,2020,1610612763,Grizzlies,6-6,195
1630166,Deni Avdija,2020,1610612764,Wizards,6-9,210
1628383,Justin Patton,2017,0,,6-11,241
1629681,Killian Tillie,2020,1610612763,Grizzlies,6-9,220
1630200,Tre Jones,2020,1610612759,Spurs,6-1,185
203648,Thanasis Antetokounmpo,2015,1610612749,Bucks,6-6,219
1629645,Kevin Porter Jr.,2019,1610612745,Rockets,6-4,203
1630237,Anthony Lamb,2020,0,,6-6,227
1630267,Facundo Campazzo,2020,1610612743,Nuggets,5-10,195
1629669,Jaylen Nowell,2019,1610612750,Timberwolves,6-4,201
1629650,Moses Brown,2019,0,,7-2,245
1629659,Talen Horton-Tucker,2019,1610612747,Lakers,6-4,234
1630231,Kenyon Martin Jr.,2020,1610612745,Rockets,6-5,215
1628778,Paul Watson,2019,0,,6-6,210
1629662,Mfiondu Kabengele,2019,1610612746,Clippers,6-9,250
1630174,Aaron Nesmith,2020,1610612738,Celtics,6-5,215
1629651,Nic Claxton,2019,1610612751,Nets,6-11,215
1629719,Devontae Cacok,2019,1610612759,Spurs,6-7,240
1629611,Terance Mann,2019,1610612746,Clippers,6-5,215
1629603,Mamadi Diakite,2020,0,,6-9,228
1630205,Lamar Stevens,2020,1610612739,Cavaliers,6-6,230
1629731,Dean Wade,2019,1610612739,Cavaliers,6-9,228
1628998,Cody Martin,2019,1610612766,Hornets,6-6,205
1630187,Daniel Oturu,2020,0,,6-8,240
1629620,Justin Robinson,2019,0,,6-1,195
1629076,Tyler Cook,2019,1610612741,Bulls,6-8,255
1630168,Onyeka Okongwu,2020,1610612737,Hawks,6-8,240
1630273,Freddie Gillespie,2020,0,,6-9,245
1630176,Vernon Carey Jr.,2020,1610612764,Wizards,6-9,270
1630230,Naji Marshall,2020,1610612740,Pelicans,6-7,220
1629752,Juwan Morgan,2019,0,,6-7,232
1629606,Robert Franks,2020,0,,6-7,225
1629052,Oshae Brissett,2019,1610612754,Pacers,6-7,210
1629677,Luka Samanic,2019,1610612752,Knicks,6-10,227
1629635,Sekou Doumbouya,2019,1610612747,Lakers,6-9,230
1630194,Paul Reed,2020,1610612755,76ers,6-9,210
1629216,Gabe Vincent,2019,1610612748,Heat,6-3,200
1629657,Kyle Guy,2019,1610612748,Heat,6-1,167
1629017,Khyri Thomas,2018,1610612765,Pistons,6-3,210
1630201,Malachi Flynn,2020,1610612761,Raptors,6-1,175
1629649,Ignas Brazdeikis,2019,1610612753,Magic,6-6,221
1629712,Didi Louzada,2020,1610612757,Trail Blazers,6-5,188
1630178,Tyrese Maxey,2020,1610612755,76ers,6-2,200
1630188,Jalen Smith,2020,1610612754,Pacers,6-10,215
1630167,Obi Toppin,2020,1610612752,Knicks,6-9,220
1630544,Tre Mann,2021,1610612760,Thunder,6-3,178
1630591,Jalen Suggs,2021,1610612753,Magic,6-5,205
1630537,Chris Duarte,2021,1610612754,Pacers,6-5,190
1630558,Davion Mitchell,2021,1610612758,Kings,6-0,202
1630526,Jeremiah Robinson-Earl,2021,1610612760,Thunder,6-8,242
1630543,Isaiah Jackson,2021,1610612754,Pacers,6-10,205
1630567,Scottie Barnes,2021,1610612761,Raptors,6-7,225
1630578,Alperen Sengun,2021,1610612745,Rockets,6-10,243
1630625,Dalano Banton,2021,1610612761,Raptors,6-7,204
1630559,Austin Reaves,2021,1610612747,Lakers,6-5,197
1630596,Evan Mobley,2021,1610612739,Cavaliers,6-11,215
1630581,Josh Giddey,2021,1610612760,Thunder,6-8,205
1630529,Herbert Jones,2021,1610612740,Pelicans,6-7,206
1630568,Luka Garza,2021,1610612765,Pistons,6-10,243
1630245,Ayo Dosunmu,2021,1610612741,Bulls,6-4,200
1630528,Josh Christopher,2021,1610612745,Rockets,6-3,215
1630532,Franz Wagner,2021,1610612753,Magic,6-10,220
1629644,KZ Okpala,2019,0,,6-8,215
1629641,Romeo Langford,2019,1610612759,Spurs,6-5,216
1629744,Matt Thomas,2019,1610612741,Bulls,6-3,190
1630572,Sandro Mamukelashvili,2021,1610612749,Bucks,6-9,240
1629646,Charles Bassey,2021,1610612755,76ers,6-9,230
1630530,Trey Murphy III,2021,1610612740,Pelicans,6-8,206
1630579,Jericho Sims,2021,1610612752,Knicks,6-9,250
1630688,Ish Wainright,2021,1610612756,Suns,6-5,250
1629604,CJ Elleby,2020,1610612757,Trail Blazers,6-6,200
1630595,Cade Cunningham,2021,1610612765,Pistons,6-6,220
1629622,Max Strus,2019,1610612748,Heat,6-5,215
1630606,Javonte Smart,2021,1610612748,Heat,6-4,205
1630538,Bones Hyland,2021,1610612743,Nuggets,6-2,169
1630549,Day'Ron Sharpe,2021,1610612751,Nets,6-9,265
1630181,R.J. Hampton,2020,1610612753,Magic,6-4,175
1629168,BJ Johnson,2018,0,,6-6,200
1630209,Omer Yurtseven,2020,1610612748,Heat,6-11,275
1630758,Aleem Ford,2021,0,,6-8,220
1630250,Marko Simonovic,2021,1610612741,Bulls,6-11,220
1630585,Marcus Garrett,2021,0,,6-5,205
1627822,Petr Cornelie,2021,0,,6-11,220
1629599,Amir Coffey,2019,1610612746,Clippers,6-7,210
1630527,Brandon Boston Jr.,2021,1610612746,Clippers,6-6,188
1629755,Hassani Gravett,2021,0,,6-2,187
1630233,Nathan Knight,2020,1610612750,Timberwolves,6-10,253
1628591,Craig Sword,2021,0,,6-3,196
1630466,Gabriel Deck,2020,0,,6-6,231
1630540,Miles McBride,2021,1610612752,Knicks,6-1,195
1629750,Javonte Green,2019,1610612741,Bulls,6-5,205
1629111,Jock Landale,2021,1610612759,Spurs,6-11,255
1630695,Micah Potter,2021,0,,6-10,248
1630565,Aaron Henry,2021,0,,6-5,210
1630243,Trevelin Queen,2021,1610612745,Rockets,6-6,190
1630561,David Duke Jr.,2021,1610612751,Nets,6-4,204
1630583,Santi Aldama,2021,1610612763,Grizzlies,6-11,215
1630613,Duane Washington Jr.,2021,1610612754,Pacers,6-3,197
1628962,Udoka Azubuike,2020,1610612762,Jazz,7-0,270
1630556,Kessler Edwards,2021,1610612751,Nets,6-7,203
1630563,Joshua Primo,2021,1610612759,Spurs,6-4,189
1630792,Malcolm Hill,2021,1610612741,Bulls,6-6,220
1630557,Corey Kispert,2021,1610612764,Wizards,6-6,224
1630631,Jose Alvarado,2021,1610612740,Pelicans,6-0,179
1630547,James Bouknight,2021,1610612766,Hornets,6-4,190
1630533,Ziaire Williams,2021,1610612763,Grizzlies,6-9,185
1630541,Moses Moody,2021,1610612744,Warriors,6-5,211
1630678,Terry Taylor,2021,1610612754,Pacers,6-5,230
